"Name","Runtime","Notes","Tags","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","catch_dropout","insert_dropout","learning_rate","max_train_steps","model_name_or_path","num_warmup_steps","training_size","use_modded","beta1","beta2","early_stopping_min_delta","early_stopping_patience","evaluation_steps","gradient_accumulation_steps","ignore_mismatched_sizes","lr_scheduler_type","max_length","num_train_epochs","original_gradient_fraction","output_dir","pad_to_max_length","param_config_id","per_device_eval_batch_size","per_device_train_batch_size","push_to_hub","report_to","run_generation","seed","task_name","train_data_frac","use_slow_tokenizer","warmup_steps_fraction","weight_decay","with_tracking","accuracy","epoch","eval_loss","train_loss","accuracy.max","avg_eval_p_max","avg_eval_p_var","avg_grad_diff_all_classes","avg_grad_diff_per_class","avg_train_p0","avg_train_p_max","avg_train_p_var","best_accuracy","best_accuracy_epoch","best_accuracy_step","best_eval_loss","best_eval_loss_epoch","best_eval_loss_step","best_f1","best_f1_epoch","best_f1_step","best_matthews_correlation","best_matthews_correlation_epoch","best_matthews_correlation_step","best_pearson","best_pearson_epoch","best_pearson_step","best_spearmanr","best_spearmanr_epoch","best_spearmanr_step","eval_loss.min","eval_p_max","eval_p_var","f1","matthews_correlation","pearson","spearmanr","train_p_max","train_p_var"
"sweep_12a_00_modded/run_64","221","-","gen_12","z6zwx78n","finished","ricu","","","2023-10-19T15:28:29.000Z","2023-10-21T09:45:49.000Z","2023-10-19T15:32:10.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_64","false","pcid_0000","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.8553921568627451","13","0.8039618219648089","0.0184482767664153","","0.9852305054664612","0.47758689522743225","","","","0.9953303337097168","0.4924071729183197","0.8676470588235294","8","522","0.3551927294049944","3","232","0.9052631578947368","8","522","","","","","","","","","","","","","0.8984509466437176","","","","",""
"sweep_12a_00_modded/run_68","127","-","gen_12, param_config_f","lptv9xjc","finished","ricu","","","2023-10-19T15:44:50.000Z","2023-10-21T09:45:47.000Z","2023-10-19T15:46:57.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_68","false","pcid_0004","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.8553921568627451","7","0.7988084384373256","0.04556092722662564","","0.9773314595222472","0.4645572006702423","","","","0.9884449243545532","0.4800430238246918","0.8651960784313726","2","174","0.3609752655029297","2","174","0.9043478260869564","2","174","","","","","","","","","","","","","0.8998302207130731","","","","",""
"sweep_12a_00_modded/run_31","256","-","gen_12","dyahlk80","finished","ricu","","","2023-10-19T12:52:15.000Z","2023-10-21T09:46:03.000Z","2023-10-19T12:56:31.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_31","false","pcid_0015","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8455882352941176","15","0.710803644997733","0.06280988249285467","","0.96929270029068","0.4549156725406647","","","","0.9788262844085692","0.4667462408542633","0.8627450980392157","10","638","0.39691693442208426","5","348","0.9050847457627118","10","638","","","","","","","","","","","","","0.8944723618090453","","","","",""
"sweep_12a_00_modded/run_28","174","-","gen_12, param_config_b","dw0syja0","finished","ricu","","","2023-10-19T12:42:07.000Z","2023-10-21T09:46:04.000Z","2023-10-19T12:45:01.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_28","false","pcid_0012","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8529411764705882","10","0.6962996210370745","0.04001593589782715","","0.9799023866653442","0.4691647589206696","","","","0.9845224618911744","0.4752610921859741","0.8627450980392157","5","348","0.40411812918526785","3","232","0.9057239057239056","5","348","","","","","","","","","","","","","0.8986486486486487","","","","",""
"sweep_12a_00_modded/run_02","203","-","gen_12","j6zrh2jf","finished","ricu","","","2023-10-19T10:51:17.000Z","2023-10-21T09:46:18.000Z","2023-10-19T10:54:40.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_02","false","pcid_0002","32","32","false","all","12a","1","mrpc","","false","0.1","0.01","true","0.8382352941176471","12","0.7216996465410505","0.013635042412527675","","0.9761715531349182","0.46414703130722046","","","","0.9950847625732422","0.4916154146194458","0.8602941176470589","7","464","0.4202774592808315","3","232","0.8983957219251337","7","464","","","","","","","","","","","","","0.8854166666666665","","","","",""
"sweep_12a_00_modded/run_78","240","-","gen_12, param_config_a","zd44gqgh","finished","ricu","","","2023-10-19T16:34:31.000Z","2023-10-21T09:45:43.000Z","2023-10-19T16:38:31.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_78","false","pcid_0014","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.8455882352941176","14","0.7297497476850238","0.07155010618012526","","0.9817994236946106","0.471491813659668","","","","0.986920952796936","0.4788856506347656","0.8602941176470589","9","580","0.4633534295218332","5","348","0.9008695652173914","9","580","","","","","","","","","","","","","0.8919382504288165","","","","",""
"sweep_12a_00_modded/run_72","320","-","gen_12, param_config_d","vrv6kvrc","finished","ricu","","","2023-10-19T16:02:01.000Z","2023-10-21T09:45:46.000Z","2023-10-19T16:07:21.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_72","false","pcid_0008","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.8480392156862745","19","0.9682312692914692","0.06890077015449261","","0.9903759956359864","0.4846993386745453","","","","0.9920893907546996","0.4878058135509491","0.8578431372549019","14","870","0.38690005029950825","3","232","0.8989547038327526","14","870","","","","","","","","","","","","","0.8949152542372881","","","","",""
"sweep_12a_00_modded/run_77","256","-","gen_12","03jwwr49","finished","ricu","","","2023-10-19T16:29:55.000Z","2023-10-21T09:45:43.000Z","2023-10-19T16:34:11.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_77","false","pcid_0013","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.8431372549019608","15","0.7511813299996513","0.15452238609050883","","0.9685956835746764","0.4487185478210449","","","","0.9606336951255798","0.4343354403972626","0.8553921568627451","10","638","0.4247048922947475","4","290","0.8954703832752613","5","348","","","","","","","","","","","","","0.8922558922558923","","","","",""
"sweep_12a_00_modded/run_40","240","-","gen_12, param_config_d","jdsbdtwp","finished","ricu","","","2023-10-19T13:36:56.000Z","2023-10-21T09:45:59.000Z","2023-10-19T13:40:56.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_40","false","pcid_0008","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8333333333333334","14","0.7070888791765485","0.032949593560449006","","0.9727981090545654","0.4592441916465759","","","","0.9896816611289978","0.4820675551891327","0.8553921568627451","9","580","0.39448574611118864","2","174","0.8987993138936535","9","580","","","","","","","","","","","","","0.8798586572438163","","","","",""
"sweep_12a_00_modded/run_47","251","-","gen_12","k7z8upoy","finished","ricu","","","2023-10-19T14:09:05.000Z","2023-10-21T09:45:56.000Z","2023-10-19T14:13:16.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_47","false","pcid_0015","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.821078431372549","15","0.7354143687656948","0.10666007831178864","","0.9714927673339844","0.45613086223602295","","","","0.9759802222251892","0.460453987121582","0.8553921568627451","10","638","0.4285853249686105","4","290","0.8991452991452993","10","638","","","","","","","","","","","","","0.8781302170283807","","","","",""
"sweep_12a_00_modded/run_20","238","-","gen_12, param_config_f","grqfbd77","finished","ricu","","","2023-10-19T12:05:02.000Z","2023-10-21T09:46:08.000Z","2023-10-19T12:09:00.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_20","false","pcid_0004","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8504901960784313","14","0.7243284497942243","0.005038053311150649","","0.9839070439338684","0.4749745726585388","","","","0.9965072274208068","0.49391084909439087","0.8553921568627451","9","580","0.4312209061213902","2","174","0.8998302207130731","6","406","","","","","","","","","","","","","0.8953687821612349","","","","",""
"sweep_12a_00_modded/run_45","221","-","gen_12","grlg8k7r","finished","ricu","","","2023-10-19T14:01:50.000Z","2023-10-21T09:45:57.000Z","2023-10-19T14:05:31.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_45","false","pcid_0013","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8406862745098039","13","0.5805143628801618","0.06189096796101537","","0.967365562915802","0.44745397567749023","","","","0.9720680713653564","0.45256850123405457","0.8553921568627451","8","522","0.44639853068760466","3","232","0.8977469670710572","8","522","","","","","","","","","","","","","0.8896434634974534","","","","",""
"sweep_12a_00_modded/run_24","239","-","gen_12, param_config_d","1q9n9ur8","finished","ricu","","","2023-10-19T12:22:25.000Z","2023-10-21T09:46:06.000Z","2023-10-19T12:26:24.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_24","false","pcid_0008","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8382352941176471","14","0.7644860403878349","0.03688421742669467","","0.974816620349884","0.464289128780365","","","","0.9889647960662842","0.4824289381504059","0.8529411764705882","9","580","0.37500027247837614","2","174","0.8986486486486487","9","580","","","","","","","","","","","","","0.8858131487889273","","","","",""
"sweep_12a_00_modded/run_16","142","-","gen_12","yyk5cchd","finished","ricu","","","2023-10-19T11:50:16.000Z","2023-10-21T09:46:10.000Z","2023-10-19T11:52:38.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_16","false","pcid_0000","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8333333333333334","8","0.629598753792899","0.023253344256302405","","0.9661523699760436","0.4504520297050476","","","","0.9907679557800292","0.4838789701461792","0.8529411764705882","3","232","0.39685957772391184","2","174","0.8983050847457628","3","232","","","","","","","","","","","","","0.8798586572438163","","","","",""
"sweep_12a_00_modded/run_42","556","-","gen_12, param_config_c","vhxo32vm","finished","ricu","","","2023-10-19T13:44:11.000Z","2023-10-21T09:45:58.000Z","2023-10-19T13:53:27.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_42","false","pcid_0010","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8480392156862745","34","0.8524258477347237","0.017790003069515885","","0.9877831935882568","0.4811838567256927","","","","0.99671733379364","0.49450546503067017","0.8529411764705882","29","1740","0.3935867718287877","3","232","0.8969072164948454","29","1740","","","","","","","","","","","","","0.89419795221843","","","","",""
"sweep_12a_00_modded/run_32","316","-","gen_12","74kopnt4","finished","ricu","","","2023-10-19T12:56:47.000Z","2023-10-21T09:46:03.000Z","2023-10-19T13:02:03.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_32","false","pcid_0000","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8529411764705882","19","0.6782274927411761","0.008999900571231184","","0.9757606387138368","0.4631827175617218","","","","0.9964187145233154","0.493331640958786","0.8529411764705882","19","1160","0.401460988180978","2","174","0.8979591836734693","19","1160","","","","","","","","","","","","","0.8979591836734693","","","","",""
"sweep_12a_00_modded/run_30","206","-","gen_12, param_config_a","4hjha5cj","finished","ricu","","","2023-10-19T12:48:32.000Z","2023-10-21T09:46:03.000Z","2023-10-19T12:51:58.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_30","false","pcid_0014","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8431372549019608","12","0.6845949036734444","0.08408480677111395","","0.9767813682556152","0.4647101163864136","","","","0.9766177535057068","0.46309179067611694","0.8529411764705882","7","464","0.4148315020969936","3","232","0.9000000000000001","4","290","","","","","","","","","","","","","0.8926174496644296","","","","",""
"sweep_12a_00_modded/run_36","320","-","gen_12, param_config_f","hzu0a8qv","finished","ricu","","","2023-10-19T13:15:34.000Z","2023-10-21T09:46:01.000Z","2023-10-19T13:20:54.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_36","false","pcid_0004","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8406862745098039","19","0.6433218547276088","0.010253779847046424","","0.977115511894226","0.4664875566959381","","","","0.9966921210289","0.49371421337127686","0.8504901960784313","14","870","0.4432206835065569","2","174","0.8942807625649914","14","870","","","","","","","","","","","","","0.8892674616695059","","","","",""
"sweep_12a_00_modded/run_79","251","-","gen_12","g0chkz5x","finished","ricu","","","2023-10-19T16:38:49.000Z","2023-10-21T09:45:43.000Z","2023-10-19T16:43:00.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_79","false","pcid_0015","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.8455882352941176","15","0.7544957569667271","0.1385716076554923","","0.9701023697853088","0.4524567425251007","","","","0.9661600589752196","0.4439373314380646","0.8504901960784313","10","638","0.4433824675423758","6","406","0.8950086058519794","10","638","","","","","","","","","","","","","0.8926746166950595","","","","",""
"sweep_12a_00_modded/run_76","144","-","gen_12, param_config_b","c6lk6brc","finished","ricu","","","2023-10-19T16:27:11.000Z","2023-10-21T09:45:44.000Z","2023-10-19T16:29:35.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_76","false","pcid_0012","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.8480392156862745","8","0.7752359935215541","0.09440500160743452","","0.9761258959770204","0.4633110463619232","","","","0.9776149392127992","0.4631510078907013","0.8504901960784313","3","232","0.3966633251735142","2","174","0.896434634974533","3","232","","","","","","","","","","","","","0.8952702702702703","","","","",""
"sweep_12a_00_modded/run_03","296","-","gen_12","yjmxgp7h","finished","ricu","","","2023-10-19T10:55:00.000Z","2023-10-21T09:46:16.000Z","2023-10-19T10:59:56.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_03","false","pcid_0003","32","32","false","all","12a","1","mrpc","","false","0.1","0.01","true","0.8382352941176471","18","0.726449693952288","0.008838898149029962","","0.9720212817192078","0.4590581953525543","","","","0.9948396682739258","0.49047982692718506","0.8480392156862745","13","812","0.4300356592450823","4","290","0.89198606271777","13","812","","","","","","","","","","","","","0.8858131487889273","","","","",""
"sweep_12a_00_modded/run_43","240","-","gen_12","85pwy60m","finished","ricu","","","2023-10-19T13:53:43.000Z","2023-10-21T09:45:58.000Z","2023-10-19T13:57:43.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_43","false","pcid_0011","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8308823529411765","14","0.5997042655944824","0.06568459395704598","","0.9717838168144226","0.45702990889549255","","","","0.9767972230911256","0.46199682354927063","0.8480392156862745","9","580","0.41774071965898785","4","290","0.89198606271777","9","580","","","","","","","","","","","","","0.8824531516183987","","","","",""
"sweep_12a_00_modded/run_29","174","-","gen_12","6937bf27","finished","ricu","","","2023-10-19T12:45:19.000Z","2023-10-21T09:46:04.000Z","2023-10-19T12:48:13.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_29","false","pcid_0013","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8333333333333334","10","0.574847902570452","0.09805916917735132","","0.956866443157196","0.43473130464553833","","","","0.9605276584625244","0.4352172017097473","0.8480392156862745","5","348","0.3953113555908203","4","290","0.8952702702702703","5","348","","","","","","","","","","","","","0.8811188811188811","","","","",""
"sweep_12a_00_modded/run_26","188","-","gen_12, param_config_c","m85529f8","finished","ricu","","","2023-10-19T12:32:01.000Z","2023-10-21T09:46:05.000Z","2023-10-19T12:35:09.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_26","false","pcid_0010","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8308823529411765","11","0.6898717880249023","0.056403957564255286","","0.9770556092262268","0.4630357623100281","","","","0.985511064529419","0.4767288267612457","0.8455882352941176","6","406","0.4091271672930037","3","232","0.8926746166950595","6","406","","","","","","","","","","","","","0.8765652951699464","","","","",""
"sweep_12a_00_modded/run_39","301","-","gen_12","old9hgba","finished","ricu","","","2023-10-19T13:31:39.000Z","2023-10-21T09:46:00.000Z","2023-10-19T13:36:40.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_39","false","pcid_0007","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8308823529411765","18","0.6703275271824428","0.03338778018951416","","0.9736034870147704","0.4583328664302826","","","","0.9908153414726256","0.4835408926010132","0.8455882352941176","13","812","0.42515145029340473","4","290","0.8930390492359932","13","812","","","","","","","","","","","","","0.877005347593583","","","","",""
"sweep_12a_00_modded/run_14","348","-","gen_12, param_config_a","czvpu6io","finished","ricu","","","2023-10-19T11:38:50.000Z","2023-10-21T09:46:11.000Z","2023-10-19T11:44:38.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_14","false","pcid_0014","32","32","false","all","12a","1","mrpc","","false","0.1","0.01","true","0.8406862745098039","21","0.954673971448626","0.023071032145927692","","0.9820209741592408","0.4725402891635895","","","","0.994723618030548","0.4914968311786651","0.8455882352941176","16","986","0.45147810663495747","3","232","0.8911917098445595","16","986","","","","","","","","","","","","","0.8869565217391304","","","","",""
"sweep_12a_00_modded/run_27","377","-","gen_12","tlw5qapz","finished","ricu","","","2023-10-19T12:35:29.000Z","2023-10-21T09:46:05.000Z","2023-10-19T12:41:46.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_27","false","pcid_0011","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8382352941176471","23","0.7555040631975446","0.05343199187311633","","0.9795650243759156","0.46885690093040466","","","","0.9862720370292664","0.4789016842842102","0.8455882352941176","18","1102","0.4010102408272879","6","406","0.8944723618090453","18","1102","","","","","","","","","","","","","0.8885135135135136","","","","",""
"sweep_12a_00_modded/run_10","267","-","gen_12, param_config_c","3gc56lxs","finished","ricu","","","2023-10-19T11:22:24.000Z","2023-10-21T09:46:12.000Z","2023-10-19T11:26:51.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_10","false","pcid_0010","32","32","false","all","12a","1","mrpc","","false","0.1","0.01","true","0.8382352941176471","16","0.7227216448102679","0.02926718366557154","","0.9784393906593324","0.46814996004104614","","","","0.99305522441864","0.48858898878097534","0.8455882352941176","11","696","0.4115921429225377","3","232","0.8900523560209423","11","696","","","","","","","","","","","","","0.8873720136518771","","","","",""
"sweep_12a_00_modded/run_15","301","-","gen_12","3p84senh","finished","ricu","","","2023-10-19T11:44:58.000Z","2023-10-21T09:46:10.000Z","2023-10-19T11:49:59.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_15","false","pcid_0015","32","32","false","all","12a","1","mrpc","","false","0.1","0.01","true","0.8308823529411765","18","0.7291457312447684","0.043919904478665055","","0.9774235486984252","0.4648428857326507","","","","0.9868601560592652","0.4791411757469177","0.8455882352941176","13","812","0.4191610472542899","4","290","0.8900523560209423","13","812","","","","","","","","","","","","","0.8787346221441125","","","","",""
"sweep_12a_00_modded/run_33","205","-","gen_12","6hgml7n5","finished","ricu","","","2023-10-19T13:02:20.000Z","2023-10-21T09:46:02.000Z","2023-10-19T13:05:45.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.000005","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_33","false","pcid_0001","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.821078431372549","12","0.5877857208251953","0.03236632922600056","","0.9591200947761536","0.4377782642841339","","","","0.9832993149757384","0.4701120853424072","0.8455882352941176","7","464","0.4144167559487479","3","232","0.8884955752212389","7","464","","","","","","","","","","","","","0.8764805414551609","","","","",""
"sweep_12a_00_modded/run_75","398","-","gen_12","wt855fr3","finished","ricu","","","2023-10-19T16:20:14.000Z","2023-10-21T09:45:44.000Z","2023-10-19T16:26:52.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_75","false","pcid_0011","32","32","false","all","12a","5","mrpc","","false","0.1","0.01","true","0.821078431372549","24","0.8778775078909737","0.14432977807932887","","0.976309895515442","0.4613422453403473","","","","0.97400963306427","0.45746684074401855","0.8455882352941176","19","1160","0.4654204504830496","6","406","0.8934010152284263","19","1160","","","","","","","","","","","","","0.8760611205432938","","","","",""
"sweep_12a_00_modded/run_46","174","-","gen_12, param_config_a","iouwjbtk","finished","ricu","","","2023-10-19T14:05:52.000Z","2023-10-21T09:45:57.000Z","2023-10-19T14:08:46.000Z","","drax","","","","2","NVIDIA A40","0.02","0.15","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_46","false","pcid_0014","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8406862745098039","10","0.6357029506138393","0.05971714134874015","","0.9727829694747924","0.4585496187210083","","","","0.9836363196372986","0.47126680612564087","0.8431372549019608","5","348","0.4168485232761928","4","290","0.889655172413793","4","290","","","","","","","","","","","","","0.8885077186963979","","","","",""
"sweep_12a_00_modded/run_41","158","-","gen_12","ddn2etc8","finished","ricu","","","2023-10-19T13:41:13.000Z","2023-10-21T09:45:59.000Z","2023-10-19T13:43:51.000Z","","drax","","","","2","NVIDIA A40","0","0.15","0.000005","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_41","false","pcid_0009","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8308823529411765","9","0.5282987526484898","0.09518619241385624","","0.9602258205413818","0.4367087483406067","","","","0.9641425013542176","0.4396597146987915","0.8431372549019608","4","290","0.4193483761378697","3","232","0.889655172413793","4","290","","","","","","","","","","","","","0.8824531516183987","","","","",""
"sweep_12a_00_modded/run_37","272","-","gen_12","sy44j47s","finished","ricu","","","2023-10-19T13:21:12.000Z","2023-10-21T09:46:00.000Z","2023-10-19T13:25:44.000Z","","drax","","","","2","NVIDIA A40","0.02","0.1","0.000005","1160","bert-base-cased","230","1","","0.9","0.999","0","5","","1","false","linear","128","20","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_37","false","pcid_0005","32","32","false","all","12a","3","mrpc","","false","0.1","0.01","true","0.8382352941176471","16","0.6078651291983468","0.03370040244069593","","0.9691336750984192","0.45096567273139954","","","","0.9862014055252076","0.4757203459739685","0.8431372549019608","11","696","0.4357987471989223","3","232","0.888888888888889","8","522","","","","","","","","","","","","","0.8865979381443299","","","","",""
"sweep_12a_00_modded/run_18","189","-","gen_12","tisnouwm","finished","ricu","","","2023-10-19T11:56:11.000Z","2023-10-21T09:46:09.000Z","2023-10-19T11:59:20.000Z","","drax","","","","2","NVIDIA A40","0","0.1","0.00001","2900","bert-base-cased","575","1","","0.9","0.999","0","5","","1","false","linear","128","50","0","/home/lange/fantastic-umbrella/runs/sweep_12a_00_modded/run_18","false","pcid_0002","32","32","false","all","12a","2","mrpc","","false","0.1","0.01","true","0.8284313725490197","11","0.7037640980311802","0.021063124311381375","","0.9785181283950806","0.4664015173912048","","","","0.9932182431221008","0.4884664714336395","0.8431372549019608","6","406","0.4174684115818569","3","232","0.889655172413793","6","406","","","","","","","","","","","","","0.8754448398576512","","","","",""
